Date,Open,High,Low,Close,Volume
2025-07-01,4.0,4.17,2.75,3.28,1580473
2025-07-02,3.24,3.4,2.85,3.15,1003199
2025-07-03,3.35,3.73,3.26,3.4,626287
2025-07-07,3.39,3.4955,3.12,3.2,358816
2025-07-08,3.18,3.38,3.101,3.26,549208
2025-07-09,3.23,3.6375,3.16,3.61,520556
2025-07-10,3.5,3.69,3.41,3.46,252796
2025-07-11,3.46,3.5064,3.18,3.28,187268
2025-07-14,3.22,3.27,3.03,3.05,201564
2025-07-15,3.02,3.06,2.78,2.9,264761
2025-07-16,2.9,2.9,2.53,2.61,217746
2025-07-17,2.67,2.6829,2.385,2.43,234014
2025-07-18,2.39,2.4532,2.04,2.17,323412
2025-07-21,2.08,2.54,2.02,2.54,300109
2025-07-22,2.44,2.5689,2.25,2.335,176691
2025-07-23,2.33,2.505,2.29,2.46,90711
2025-07-24,2.41,2.4775,2.31,2.41,33111
2025-07-25,2.41,2.48,2.35,2.465,46507
2025-07-28,2.47,2.9199,2.3904,2.89,412863
2025-07-29,2.8,2.84,2.44,2.61,185223
2025-07-30,2.618,2.6732,2.49,2.64,67891
2025-07-31,2.59,2.59,2.12,2.14,140691
2025-08-01,2.2,2.2905,2.01,2.02,139142
2025-08-04,2.04,2.2605,1.855,1.92,124700
2025-08-05,1.9,1.98,1.72,1.74,135915
2025-08-06,1.8,1.8499,1.7667,1.83,42163
2025-08-07,1.79,1.85,1.67,1.72,44022
2025-08-08,1.78,1.85,1.7,1.75,53763
2025-08-11,1.78,1.85,1.6301,1.66,98785
2025-08-12,1.68,1.7955,1.5501,1.78,101253
2025-08-13,1.8,2.0924,1.7815,2.08,170461
2025-08-14,2.06,2.08,1.7977,1.99,39536
2025-08-15,1.94,2.04,1.8915,1.97,22610
2025-08-18,1.94,2.3,1.94,2.27,70326
2025-08-19,2.27,2.27,2.1002,2.22,31826
2025-08-20,2.22,2.28,2.0301,2.115,26422
2025-08-21,2.12,2.2314,2.06,2.1422,24410
2025-08-22,2.15,2.29,1.8901,2.234,53087
2025-08-25,2.28,2.29,2.1601,2.24,44109
2025-08-26,2.11,2.49,2.11,2.455,94410
2025-08-27,2.44,2.54,2.3338,2.51,48507
2025-08-28,2.44,2.55,2.42,2.52,63567
2025-08-29,2.45,2.79,2.42,2.69,145752
2025-09-02,2.69,3.08,2.69,3.02,243319
2025-09-03,3.16,3.16,2.72,3.08,107781
2025-09-04,3.1041,3.1041,3.02,3.08,33946
2025-09-05,3.03,3.16,3.02,3.09,45712
2025-09-08,3.01,3.1,2.75,2.9,128933
2025-09-09,2.85,3.03,2.85,2.94,52026
2025-09-10,2.86,3.0,2.86,2.96,74406
2025-09-11,2.89,3.1,2.88,2.96,54624
2025-09-12,3.05,3.1381,2.9104,2.94,67619
2025-09-15,3.06,3.0888,2.98,2.98,68127
2025-09-16,2.98,3.0314,2.95,3.0,39287
