Date,Open,High,Low,Close,Volume
2025-07-16,9.72,10.35,7.2,7.72,411578
2025-07-17,8.27,8.27,6.2981,6.81,277820
2025-07-18,6.75,6.7846,6.0,6.5,104251
2025-07-21,6.73,6.75,5.78,5.9,174982
2025-07-22,6.14,6.14,5.0161,5.8,192343
2025-07-23,5.9,6.45,5.51,6.45,154698
2025-07-24,6.33,6.6,5.9,6.54,434115
2025-07-25,6.43,6.4592,5.5001,5.69,197737
2025-07-28,5.69,5.83,5.4,5.76,199339
2025-07-29,5.83,5.89,5.41,5.51,110513
2025-07-30,5.7,5.7,5.17,5.27,156398
2025-07-31,5.45,5.4692,5.12,5.34,145070
2025-08-01,5.51,5.5994,5.13,5.5,161942
2025-08-04,5.57,5.72,5.45,5.62,65762
2025-08-05,5.5,5.61,5.2901,5.46,55635
2025-08-06,5.42,5.43,5.2101,5.36,28230
2025-08-07,5.36,5.43,5.1501,5.43,42424
2025-08-08,5.23,5.4799,5.17,5.26,35641
2025-08-11,5.35,5.35,4.83,5.06,108221
2025-08-12,4.98,5.07,4.82,4.98,53778
2025-08-13,5.08,5.85,5.08,5.51,277316
2025-08-14,5.69,5.8,5.35,5.6,112124
2025-08-15,5.6,5.84,5.39,5.41,43563
2025-08-18,5.51,5.62,5.42,5.58,29962
2025-08-19,5.51,5.63,5.27,5.37,100974
2025-08-20,5.53,5.53,5.27,5.39,73922
2025-08-21,5.5,5.78,5.5,5.765,140513
2025-08-22,5.8,5.8,5.5311,5.73,101647
2025-08-25,5.67,5.7,5.47,5.54,24999
2025-08-26,5.46,5.47,5.29,5.39,45826
2025-08-27,5.44,5.45,5.2045,5.4,35392
2025-08-28,5.45,5.45,5.32,5.36,56475
2025-08-29,5.47,5.55,5.31,5.5,60559
2025-09-02,5.55,5.55,5.37,5.42,26168
2025-09-03,5.73,5.84,5.38,5.49,114862
2025-09-04,5.58,5.58,5.2701,5.36,58660
2025-09-05,5.44,5.66,5.295,5.6,98660
2025-09-08,5.63,5.63,5.38,5.59,53765
2025-09-09,5.52,5.58,5.42,5.44,38049
2025-09-10,5.5,5.8,5.39,5.8,57279
2025-09-11,5.74,6.14,5.7,6.0594,139663
2025-09-12,5.93,6.09,5.86,6.08,54895
2025-09-15,6.13,6.3,5.92,5.94,33165
2025-09-16,6.04,6.04,5.7933,5.86,28752
2025-09-17,5.71,5.88,5.65,5.7,33717
2025-09-18,5.75,6.1,5.74,5.8,60486
2025-09-19,6.08,6.08,5.65,5.78,69125
2025-09-22,5.85,5.96,5.61,5.64,55741
2025-09-23,5.69,5.87,5.58,5.7,57373
2025-09-24,5.73,5.88,5.72,5.82,73073
2025-09-25,5.87,6.09,5.6717,5.9,92371
2025-09-26,5.87,5.87,5.6,5.68,65727
2025-09-29,5.8,5.95,5.735,5.75,54427
2025-09-30,5.79,5.79,5.45,5.52,30228
2025-10-01,5.46,5.93,5.46,5.75,56613
2025-10-02,5.8,5.8,5.5604,5.7,31171
2025-10-03,5.66,5.765,5.52,5.56,68455
2025-10-06,5.69,5.75,5.51,5.74,62231
2025-10-07,5.83,5.88,5.45,5.53,110417
2025-10-08,5.55,5.78,5.5,5.75,95276
2025-10-09,5.73,5.8,5.51,5.66,168791
2025-10-10,5.65,5.76,5.5,5.53,87745
2025-10-13,5.64,6.654,5.61,6.34,468169
2025-10-14,6.35,6.35,5.655,6.15,831860
2025-10-15,6.3,6.345,5.7,5.85,264340
2025-10-16,5.8,5.9599,5.56,5.66,184649
2025-10-17,5.64,5.64,5.37,5.44,113965
2025-10-20,5.69,5.75,5.5659,5.68,59827
2025-10-21,5.57,5.605,5.14,5.14,56309
2025-10-22,5.06,5.17,4.95,5.11,104134
2025-10-23,5.13,5.27,5.0119,5.05,71373
2025-10-24,5.05,5.12,4.81,4.88,142799
2025-10-27,4.86,4.86,4.4602,4.54,179391
2025-10-28,4.11,4.3,3.7701,3.93,406809
2025-10-29,3.95,4.1189,3.8065,4.04,155597
2025-10-30,4.02,4.08,3.92,4.04,110030
2025-10-31,4.02,4.0399,3.86,3.86,60752
2025-11-03,3.92,3.99,3.79,3.99,199323
2025-11-04,3.87,3.8965,3.67,3.78,115718
2025-11-05,3.8,3.9,3.78,3.87,27951
2025-11-06,3.9,3.91,3.675,3.79,80028
2025-11-07,3.78,3.85,3.63,3.84,76094
2025-11-10,3.9,3.96,3.8,3.86,106347
2025-11-11,3.8736,3.88,3.71,3.81,74462
2025-11-12,3.82,3.99,3.75,3.99,72220
2025-11-13,4.01,4.01,3.74,3.76,36942
2025-11-14,3.71,3.75,3.5901,3.66,61205
2025-11-17,3.7,3.71,3.4501,3.52,90083
2025-11-18,3.52,3.66,3.45,3.49,55688
2025-11-19,3.5,3.82,3.41,3.79,175705
2025-11-20,3.74,3.78,3.51,3.54,61186
2025-11-21,3.55,3.6,3.47,3.57,21031
2025-11-24,3.5,3.54,3.37,3.44,47429
2025-11-25,3.5,3.53,3.4,3.51,103059
2025-11-26,3.51,3.67,3.5,3.55,98904
2025-11-28,3.5549,3.85,3.51,3.78,127117
2025-12-01,3.79,3.79,3.57,3.78,74982
2025-12-02,3.76,3.78,3.58,3.64,44074
2025-12-03,3.65,3.92,3.65,3.81,184327
2025-12-04,3.81,3.81,3.7,3.77,38550
2025-12-05,3.72,3.84,3.7001,3.74,34826
2025-12-08,3.75,3.76,3.58,3.63,76860
2025-12-09,3.67,3.7,3.6006,3.66,34591
2025-12-10,3.62,3.655,3.51,3.56,135754
2025-12-11,3.58,3.59,3.47,3.5,124034
2025-12-12,3.51,3.69,3.51,3.57,81753
2025-12-15,3.6,3.66,3.37,3.49,76848
2025-12-16,3.47,3.59,3.41,3.59,83539
2025-12-17,3.5,3.8099,3.5,3.71,72521
2025-12-18,3.74,3.802,3.56,3.61,67458
2025-12-19,3.61,3.74,3.53,3.53,39363
2025-12-22,3.53,3.86,3.53,3.76,91008
2025-12-23,3.7578,3.8301,3.75,3.78,66547
2025-12-24,3.8182,3.8773,3.68,3.87,25786
2025-12-26,3.93,4.31,3.92,4.12,184071
2025-12-29,4.06,4.065,3.69,3.875,110732
2025-12-30,3.92,4.03,3.865,3.89,46075
2025-12-31,3.85,3.995,3.85,3.91,28989
